DOCTECH_numero,Designation,Maturity,n,total,riesgo,ELTDEC_numero,ELTDEC_designation,FAM_code,FCT_numero,FCT_nature,FCT_designation,FCT_BE_resp,VAR_numero,VAR_type,VAR_argument_produit_1,VAR_argument_produit_2,VAR_prix_previ,VAR_masse_previ,SOL_numero,SOL_site_production,SOL_sce,SOL_appariement,ESO_numero,ESO_etat,ESO_num_appro,ESO_date_histo,ESO_num_PG,ESO_commonalite,ESO_commentaire,ESO_designation_PG,ESO_code_SH,ESO_fourn_pilote,ESO_type_concur,ESO_mas_prob,ESO_mas_recy,ESO_risque,ESO_ecart_mas1,ESO_ecart_mas2,ESO_potentiel,ESO_coef,ESO_design_dos_fct,ESO_BE_resp,ESO_indice_dos_fct,AFU_int_site,AFU_int_sce,AFU_int_validite,AFU_ext_site,AFU_ext_sce,AFU_ext_validite,ECO_statut,ECO_sol_ext,ECO_parallel_set_cod,ECO_commentaire,PIE_numero,PIE_designation,PIE_type,PIE_BE_resp,PIE_sce_gest,PIE_sce_colead,PIE_ldr_conception,PIE_Nis_pie_numero,PIE_unite,AFF_POI_site,AFF_POI_sce,AFF_POI_validite,AFF_POE_site,AFF_POE_sce,AFF_POE_validite,AFF_uti_SIGNE,AFF_uti_G2B,PIE_cod_RSE,PIE_vital_part,PIE_code_nature,PIE_code_techno,PIE_sct_ach,PIE_fournisseur,PIE_cod_fab,PIE_source,PIE_gest_MDS,PIE_prix_std,PIE_prix_hors_amort,PIE_inducteur1,PIE_inducteur2,PIE_creation_comment,PIE_gest_PPU,PIE_maj_PPU,PIEIND_indice,PIEIND_statut,PIEIND_Dernier_indice,PIEIND_Dernier_statut,PIEIND_marquage_pays,PIEIND_masse,PIEIND_type_masse,PIEIND_nuance_protection,PIEIND_epaisseur,PIEIND_typologie,DOCTECH_BE_resp,DOCTECH_type,DOCTECH_indice,DOCTECH_indice_mineur,DOCTECH_flag_nis
041000001R,ECROU TOLE M6 X100 SA3GS,Validated,8,8,0,74,COMMANDES CHASSIS,X52,F10436,Fonction,MECANISME DE FREIN DE STATIONNEMENT,Renault,1,Projet,TT,,NA,NA,5,,0RDBA,NA,2,Valide, 	 ,18/01/2016,F10436/AY,NA,,PROTECTEUR MECANISME DE FREIN DE STATIONNEMENT,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,2,NA,,,OCM,0RDBA,Officielle,,,,BE,,NA,, 	 041000001R,ECROU TOLE M6 X100 SA3GS,RMU,Renault,00APS,KYC,Renault, 	 ," PCE Pièce, Unité",,,," EXT,SFK",00APS,Officielle," EXT,REV,TAN,UGB,PAL,UPL,BUR,VAL,ORU,UAS,IKO,IPK,MOP,OCM,MAH,RMA,NSA,TOA,RSM,CHN,CAR,AGV,COR,LUT,NB1,MCA,DPE,LHA,NVU,HAM,ORA,WUH,PLS,IZH,SOV,VUC,TCM,BUM,MOT,TKD,SNY",,---,NA,S,71K,64Y,RENAULT SAS DEPOT RLT SOFRAS,5X,,Oui,NA,NA,Non définie,Non définie,Initialisation par PDP,,,--G,BE,--G,BE,NA,0.004,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--G,8,Non partagé
8201482539,CABLAGE PORTE AR G,Validated,4,4,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F16239,Fonction,CABLAGE PORTE AR D,Renault,2,Projet,HHA RUSSIE,,NA,NA,1,,0M000,NA,1,Valide, 	 ,05/12/2014,F16239/AA,NA,,CABLAGE PORTE AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 241274968R,CABLAGE PORTE AR G,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,---,NA,-,WAZ,,LEONI RUS OOO,RA,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--E,BE,--E,BE,NA,0.5,Calculée,,,Plan de définition obligatoire,Renault,Plan,--E,5,Non partagé
8201482539,PEI_CBLJ_PORTE_AR_G_HHA_RFQ_RUS_LEONI,Validated,1,1,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F16239,Fonction,CABLAGE PORTE AR D,Renault,2,Projet,HHA RUSSIE,,NA,NA,1,,0M000,NA,1,Valide, 	 ,05/12/2014,F16239/AA,NA,,CABLAGE PORTE AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 241274968R,CABLAGE PORTE AR G,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,---,NA,-,WAZ,,LEONI RUS OOO,RA,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--E,BE,--E,BE,NA,0.5,Calculée,,,Plan de définition obligatoire,Renault,Plan,--E,5,Non partagé
8201482545,CABLAGE PORTE AR G,Validated,7,7,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F16239,Fonction,CABLAGE PORTE AR D,Renault,3,Projet,HHA BRESIL,,NA,NA,2,,0M000,NA,1,Valide, 	 ,30/01/2015,F16239/AA,NA,,CABLAGE PORTE AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0M000,Officielle,,,,BE,,NA,, 	 241260963R,CABLAGE PORTE AR D,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,UAS,,---,NA,-,WAZ,,YAZAKI PARAGUAY S.R.L,LS,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,--D,BE,--D,BE,NA,0.5,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--F,10,
8201482547,CABLAGE CTP,Validated,5,5,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F17038,Fonction,CABLAGE CTP,Renault,1,Projet,HHA RUSSIE,,NA,NA,1,,0M000,NA,1,Valide, 	 ,05/12/2014,F17038/AA,NA,,CABLAGE CTP,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 115121189R,CABLAGE CTP,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,---,NA,-,WAZ,,LEONI RUS OOO,CS,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--E,BE,--E,BE,NA,0.34,Calculée,,,Plan de définition obligatoire,Renault,Plan,--E,6,
8201482547,PEI_CBLJ_CTP_HHA_RFQ_RUS_LEONI,Validated,1,1,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F17038,Fonction,CABLAGE CTP,Renault,1,Projet,HHA RUSSIE,,NA,NA,1,,0M000,NA,1,Valide, 	 ,05/12/2014,F17038/AA,NA,,CABLAGE CTP,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 115121189R,CABLAGE CTP,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,---,NA,-,WAZ,,LEONI RUS OOO,CS,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--E,BE,--E,BE,NA,0.34,Calculée,,,Plan de définition obligatoire,Renault,Plan,--E,6,
8201482551,CABLAGE BOUCLIER AV,Validated,3,3,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F10119,Fonction,CABLAGE BOUCLIER AVANT,Renault,1,Projet,HHA RUSSIE SPROJA,,NA,NA,1,,0M000,NA,1,Valide, 	 ,05/12/2014,F10119/AA,NA,,CABLAGE BOUCLIER AV,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 240708668R,CABLAGE BOUCLIER AV,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,---,NA,-,WAZ,,LEONI RUS OOO,VS,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--C,BE,--C,BE,NA,0.07,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--C,4,Non partagé
8201482551,PEI_CBLJ_BOUCLIER_AV_HHA_RFQ_RUS_LEONI,Validated,1,1,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F10119,Fonction,CABLAGE BOUCLIER AVANT,Renault,1,Projet,HHA RUSSIE SPROJA,,NA,NA,1,,0M000,NA,1,Valide, 	 ,05/12/2014,F10119/AA,NA,,CABLAGE BOUCLIER AV,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 240708668R,CABLAGE BOUCLIER AV,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,---,NA,-,WAZ,,LEONI RUS OOO,VS,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--C,BE,--C,BE,NA,0.07,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--C,4,Non partagé
8201482558,CABLAGE BOUCLIER AV,Validated,5,5,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F10119,Fonction,CABLAGE BOUCLIER AVANT,Renault,4,Projet," HHA BRESIL EA2, EA3",,NA,NA,1,,0M000,NA,1,Valide, 	 ,30/01/2015,F10119/AA,NA,,CABLAGE BOUCLIER AV,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0RDBA,Officielle,,,,BE,,NA,, 	 240707178R,CABLAGE BOUCLIER AV,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," UAS,EXT",,---,NA,-,WAZ,,YAZAKI PARAGUAY S.R.L,NY,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,--B,BE,--B,BE,NA,0.07,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--D,8,
8201482565,CABLAGE BOUCLIER AR,Validated,7,7,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F16568,Fonction,CABLAGE BOUCLIER AR,Renault,3,Projet,HHA BRESIL EA1,,NA,NA,3,,0RDBA,NA,1,Valide, 	 ,21/02/2017,F16568/AA,NA,,CABLAGE BOUCLIER AR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0RDBA,Officielle,,,,BE,,NA,, 	 240151411R,CABLAGE BOUCLIER AR,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,UAS,,---,NA,-,WAZ,,YAZAKI PARAGUAY S.R.L,LK,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,--B,BE,--B,BE,NA,0.4,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--F,10,
8201482611,CABLAGE BOUCLIER AR,Validated,6,6,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F16568,Fonction,CABLAGE BOUCLIER AR,Renault,8,Projet,HHA MY 2017 SSITPK,,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,20/03/2017,F16568/AA,NA,,CABLAGE BOUCLIER AR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0RDBA,Officielle,,,,BE,,NA,, 	 240156962R,CABLAGE BOUCLIER AR,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,ORU,,---,NA,-,WAZ,,LEONI RUS OOO,EJ,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,--A,BE,--A,BE,NA,0.4,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--F,7,
8201482611,PEI_CBLJ_BOUCLIER_AR_HHA_RFQ_RUS_LEONI,Validated,1,1,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F16568,Fonction,CABLAGE BOUCLIER AR,Renault,8,Projet,HHA MY 2017 SSITPK,,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,20/03/2017,F16568/AA,NA,,CABLAGE BOUCLIER AR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0RDBA,Officielle,,,,BE,,NA,, 	 240156962R,CABLAGE BOUCLIER AR,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,ORU,,---,NA,-,WAZ,,LEONI RUS OOO,EJ,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,--A,BE,--A,BE,NA,0.4,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--F,7,
8201482620,CABLAGE BANDEAU PORTE COFFRE,Validated,4,4,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F16186,Fonction,CABLAGE ADDITIONNEL PORTE DE COFFRE,Renault,1,Projet,HHA RUSSIE,,NA,NA,1,,0M000,NA,1,Valide, 	 ,05/12/2014,F16186/AA,NA,,CABLAGE ADDITIONNEL 1 PORTE DE COFFRE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 240505235R,CABLAGE BANDEAU PORTE COFFRE,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,---,NA,-,WAZ,,LEONI RUS OOO,4P,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--E,BE,--E,BE,NA,0.145,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--F,6,
8201482620,PEI_CBLJ_BANDEAU_PT_COFF_HHA_RFQ_RUS_LEO,Validated,1,1,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F16186,Fonction,CABLAGE ADDITIONNEL PORTE DE COFFRE,Renault,1,Projet,HHA RUSSIE,,NA,NA,1,,0M000,NA,1,Valide, 	 ,05/12/2014,F16186/AA,NA,,CABLAGE ADDITIONNEL 1 PORTE DE COFFRE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 240505235R,CABLAGE BANDEAU PORTE COFFRE,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,---,NA,-,WAZ,,LEONI RUS OOO,4P,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--E,BE,--E,BE,NA,0.145,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--F,6,
8201482630,CABLAGE PLAFONNIER,Validated,9,9,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F10133,Fonction,CABLAGE PLAFONNIER,Renault,39,Projet,HHA CAREG ALEVA SANS E-CALL ULC4 SLBSCO,,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,05/04/2018,F10133/AC,NA,,CABLAGE PLAFONNIER,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0RDBA,Officielle,,,,BE,,NA,, 	 241603302R,CABLAGE PLAFONNIER,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,ORU,,---,NA,-,WAZ,,LEONI RUS OOO,0L,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,---,BE,---,BE,NA,1.25,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--J,9,
8201482630,PEI_CBLJ_PLAFONNIER_HHA_RFQ_RUS_LEONI,Validated,1,1,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F10133,Fonction,CABLAGE PLAFONNIER,Renault,39,Projet,HHA CAREG ALEVA SANS E-CALL ULC4 SLBSCO,,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,05/04/2018,F10133/AC,NA,,CABLAGE PLAFONNIER,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,ORU,0RDBA,Officielle,,,,BE,,NA,, 	 241603302R,CABLAGE PLAFONNIER,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle,ORU,,---,NA,-,WAZ,,LEONI RUS OOO,0L,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,---,BE,---,BE,NA,1.25,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--J,9,
8201482630-926024853658,CABLAGE PLAFONNIER,Validated,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9218868437227407266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8201482630-936024857373,CABLAGE PLAFONNIER,Validated,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9218868437227407266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8201482658,CABLAGE BANDEAU PORTE COFFRE,Validated,2,2,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F16186,Fonction,CABLAGE ADDITIONNEL PORTE DE COFFRE,Renault,2,Projet,HHA BRESIL,,NA,NA,1,,0M000,NA,1,Valide, 	 ,29/01/2015,F16186/AA,NA,,CABLAGE ADDITIONNEL 1 PORTE DE COFFRE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0M000,Officielle,,,,BE,,NA,, 	 240507390R,CABLAGE BANDEAU PORTE COFFRE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,UAS,,---,NA,-,WAZ,,YAZAKI PARAGUAY S.R.L,M9,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,--C,BE,--C,BE,NA,0.145,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--E,8,
8201482658,CABLAGE PORTE COFFRE,Validated,4,4,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,XHA,F16186,Fonction,CABLAGE ADDITIONNEL PORTE DE COFFRE,Renault,2,Projet,HHA BRESIL,,NA,NA,1,,0M000,NA,1,Valide, 	 ,29/01/2015,F16186/AA,NA,,CABLAGE ADDITIONNEL 1 PORTE DE COFFRE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0M000,Officielle,,,,BE,,NA,, 	 240507390R,CABLAGE BANDEAU PORTE COFFRE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,UAS,,---,NA,-,WAZ,,YAZAKI PARAGUAY S.R.L,M9,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,--C,BE,--C,BE,NA,0.145,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--E,8,
8201490143,CABLAGE MOTEUR,Validated,5,5,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,X52,F10130,Fonction,CABLAGE MOTEUR K,Renault,AV,Projet,X52 K4M*845 BVA4 DP2,,NA,NA,1,,0M000,NA,1,Valide, 	 ,30/01/2014,F10130/AA,NA,,CABLAGE MOTEUR K,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,RMA,0M000,Officielle,,,,BE,,NA,, 	 240111330R,CABLAGE MOTEUR K4M,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,RMA,,---,NA,-,,,SEWS MAROC SARL,V0,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,--D,BE,--D,BE,NA,2.995,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--D,5,
8201490590,ECRAN THERMIQUE TRAVERSE TRAIN ARRIERE,Refused,1,3,0.3333333333333333,71,ECHAPPEMENT - POT CATALYTIQUE,X79,F18256,Fonction,PROTECTION THERMIQUE DE TRAVERSE DE TRAIN AR,Renault,4,Projet,H79 DD,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,08/01/2014,F18256/AA,NA,,ECRAN THERMIQUE DE TRAVERSE DE TRAIN AR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 8201490590,ECRAN THERMIQUE TRAVERSE TRAIN ARRIERE,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,---,NA,-,UFO,,,8G,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,--A,BE,--A,BE,NA,0.045,Pesée pièce proto,,,Plan et Num 3D obligatoires,Renault,Plan,--A,4,
8201490592,ECRAN THERMIQUE COMMANDE FREIN A MAIN,Refused,1,3,0.3333333333333333,71,ECHAPPEMENT - POT CATALYTIQUE,X79,F22616,Fonction,PROTECTION THERMIQUE CABLE DE FREIN DE STATIONNEMENT,Renault,1,Projet,H79 INDIA PH3,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,19/04/2018,F22616/AA,NA,,ECRAN THERMIQUE CABLE DE FREIN DE STATIONNEMENT,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 8201490592,ECRAN THERMIQUE COMMANDE FREIN A MAIN,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,---,NA,-,UFO,,,8J,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,--A,BE,--A,BE,NA,0.07,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,4,
8201495427,CLIP GIFFE-AXE,Validated,1,1,0,63,SIEGES,X79,F16729,Fonction,GLISSIERE SIEGE 1ERE RANGEE,Renault,1,Projet,H79,,NA,NA,3,,0M000,NA,2,Valide, 	 ,27/07/2016,F16729/BG,NA,,CALE GLISSIERE SIEGE 1ERE RNG,9401.9,NA,Fournisseur,NA,NA,NA,NA,NA,NA,4,NA,,,ORU,0M000,Officielle,,,,BE,,NA,, 	 8201495427,CLIP GIFFE-AXE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,ORU,,---,NA,-,,,FAURECIA AUTOMOTIVE DEVELOPM,V9,,Non,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,---,BE,---,BE,NA,0.001,Calculée,,,Plan de définition obligatoire,Renault,Plan,---,1,Non partagé
8201503051,CABLAGE AR,Validated,8,8,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,X79,F12068,Fonction,CABLAGE AR,Renault,BR,Projet,U79,,NA,NA,9,,0RDBA,NA,1,Valide, 	 ,05/07/2019,F12068/AC,NA,,CABLAGE AR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," VUC,UAS",0RDBA,Officielle,,,,BE,,NA,, 	 241634589R,CABLAGE AR,PIE,Renault,0RDBA,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0RDBA,Officielle," UAS,VUC",,---,NA,-,WAZ,,YAZAKI PARAGUAY S.R.L,8S,,Oui,NA,NA,Inducteurs Spécifiques,Evolution du process,,,,---,BE,---,BE,NA,1.517,Pesée pièce proto,,,Plan de définition obligatoire,Renault,Plan,--G,8,
8201504569,CABLAGE MOTEUR,Validated,3,3,0,91,SYSTEMES DISTRIBUTION ELECTRIQUE,X52,F10128,Fonction,CABLAGE MOTEUR F,Renault,1,Projet,B52 RS ARGENTINE PH 1 & 2 / F4R / ESS .,,NA,NA,2,,RSPOR,NA,1,Valide, 	 ,03/06/2015,F10128/AA,NA,,CABLAGE MOTEUR F,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,RSPOR,Officielle,,,,BE,,NA,, 	 240117370R,CABLAGE MOTEUR F4R,PIE,Renault,RSPOR,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,RSPOR,Officielle,UAS,,---,NA,-,WAZ,,YAZAKI PARAGUAY S.R.L,AJ,,Non,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,B52 RS ARGENTINE,,,--B,BE,--B,BE,NA,2.8,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--B,3,Non partagé
8201510623,MOUSSE ADHESIVE,Validated,1,1,0,42,ECLAIRAGE - SIGNALISATION,X52,F23266,Fonction,INSONORISATION ECLAIRAGE DE COFFRE,Renault,1,Projet,X52 RUSSIE,,NA,NA,1,,0M000,NA,1,Valide, 	 ,18/02/2014,F23266/AA,NA,,INSONORISANT ECLAIREUR DE COFFRE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,TOA,0M000,Officielle,,,,BE,,NA,, 	 668354297R,MOUSSE ADHESIVE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," MOP,TOA,IZH,ORU",,R--,NA,-,,,HUTCHINSON SRL,8A,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,--A,BE,--A,BE,NA,0.001,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--A,1,Non partagé
8201518421,CABLAGE MONOBLOC,Refused,1,8,0.125,91,SYSTEMES DISTRIBUTION ELECTRIQUE,X52,F19630,Fonction,CABLAGE MONOBLOC 1,Renault,DD,Projet,B52 RS MSU / F4R / ESS / CA02 /SDPSEC/RDAR01/BVM6/ALOUCC/SAUF PRUPTC,,NA,NA,3,,RSPOR,NA,1,Valide, 	 ,06/03/2015,F19630/AA,NA,,CABLAGE MONOBLOC 1,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,RSPOR,Officielle,,,,BE,,NA,, 	 240146605R,CABLAGE MONOBLOC,PIE,Renault,RSPOR,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,RSPOR,Officielle,UAS,,---,NA,-,WAZ,,YAZAKI AUTOPARTS DO BRASIL L,1G,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,---,BE,---,BE,NA,5,Pesée pièce série,,,Plan de définition obligatoire,Renault,Plan,--B,2,Non partagé
