DOCTECH_numero,Designation,Maturity,n,total,riesgo,ELTDEC_numero,ELTDEC_designation,FAM_code,FCT_numero,FCT_nature,FCT_designation,FCT_BE_resp,VAR_numero,VAR_type,VAR_argument_produit_1,VAR_argument_produit_2,VAR_prix_previ,VAR_masse_previ,SOL_numero,SOL_site_production,SOL_sce,SOL_appariement,ESO_numero,ESO_etat,ESO_num_appro,ESO_date_histo,ESO_num_PG,ESO_commonalite,ESO_commentaire,ESO_designation_PG,ESO_code_SH,ESO_fourn_pilote,ESO_type_concur,ESO_mas_prob,ESO_mas_recy,ESO_risque,ESO_ecart_mas1,ESO_ecart_mas2,ESO_potentiel,ESO_coef,ESO_design_dos_fct,ESO_BE_resp,ESO_indice_dos_fct,AFU_int_site,AFU_int_sce,AFU_int_validite,AFU_ext_site,AFU_ext_sce,AFU_ext_validite,ECO_statut,ECO_sol_ext,ECO_parallel_set_cod,ECO_commentaire,PIE_numero,PIE_designation,PIE_type,PIE_BE_resp,PIE_sce_gest,PIE_sce_colead,PIE_ldr_conception,PIE_Nis_pie_numero,PIE_unite,AFF_POI_site,AFF_POI_sce,AFF_POI_validite,AFF_POE_site,AFF_POE_sce,AFF_POE_validite,AFF_uti_SIGNE,AFF_uti_G2B,PIE_cod_RSE,PIE_vital_part,PIE_code_nature,PIE_code_techno,PIE_sct_ach,PIE_fournisseur,PIE_cod_fab,PIE_source,PIE_gest_MDS,PIE_prix_std,PIE_prix_hors_amort,PIE_inducteur1,PIE_inducteur2,PIE_creation_comment,PIE_gest_PPU,PIE_maj_PPU,PIEIND_indice,PIEIND_statut,PIEIND_Dernier_indice,PIEIND_Dernier_statut,PIEIND_marquage_pays,PIEIND_masse,PIEIND_type_masse,PIEIND_nuance_protection,PIEIND_epaisseur,PIEIND_typologie,DOCTECH_BE_resp,DOCTECH_type,DOCTECH_indice,DOCTECH_indice_mineur,DOCTECH_flag_nis
100030865,RENFORT AR TETE ESSIEU G,Refused,5,7,0.7142857142857143,86,ESSIEU AR,X79,F15652,Fonction,SUPPORT D' ELEMENT TOURNANT DU TRAIN AR,Renault,3,Projet,4X2,,NA,NA,8,MEP,0M000,NA,5,Valide, 	 ,08/03/2018,F15652/AE,NA,,RENFORT LAT DE TETE ESSIEU AR D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MEP,0M000,Officielle,,,,BE,,NA,, 	 555178428R,RENFORT AR TETE ESSIEU D,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",MEP,0M000,Officielle,,,," EXT,MEP,TOA",,---,NA,D,,,AUTOMOBILE DACIA S.A. ACHATS,9F,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,---,BE,---,BE,NA,0.44,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--K,10,
673381721R,RENFORT TABLIER D,Validated,1,1,0,12,SOUBASSEMENT,X79,F10760,Fonction,TABLIER,Renault,9,Projet,SUV 5 PORTES TR4X2 PH2,,NA,NA,18,CHN,0M000,NA,4,Valide, 	 ,21/06/2016,F10760/AI,NA,,RENFORT D DE TABLIER,8708.29,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0M000,Officielle,,,,BE,,NA,DOC 426065, 	 673381721R,RENFORT TABLIER D,PIE,Renault,0M000,KY2,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," EXT,CHN",,PQ-,NA,-,SF0,,,YX,,Oui,NA,NA,Industrialisation - Capacitaire et Sourcings,Non définie,,,,--A,BE,--A,BE,NA,0.878,Calculée,SP121BQ SANS,1.2,Plan de définition obligatoire,Renault,Plan,--A,2,
673388002R,TRAVERSE TABLIER P-ASS,Refused,1,5,0.2,12,SOUBASSEMENT,X79,F14370,Fonction,TRAVERSE DE TABLIER,Renault,4,Projet,SUV 5 PORTES PH 1 & PH1' & MOP DD,,NA,NA,2," MOP,CHN",0M000,NA,1,Valide, 	 ,04/05/2016,F14370/AH,NA,,TRAVERSE TABLIER PARTIE CENTRALE,8708.29,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,EXT,0M000,Officielle,BE,,NA,DOC 426065, 	 671220444R,TRAVERSE TABLIER,PIE,Renault,0M000,KY2,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," EXT,MOP",,PQ-,NA,-,SF0,,GESTAMP AUTOMOTIVE CHENNAI P,AC,,Oui,NA,NA,Inducteurs Spécifiques,Raison Eco / LUP ECO,,,,--A,BE,--A,BE,NA,2.892,Calculée,SP781GA GA ZN 45/45 GSM,1.8,Plan et Num 3D obligatoires,Renault,Plan,--D,8,
673395614R,RENFORT INT G ACST TRAVERSE INF BAIE,Validated,1,1,0,12,SOUBASSEMENT,X52,F15462,Fonction,ACOUSTIQUE DE TRAVERSE INF DE BAIE,Renault,1,Projet," TRICORPS, BREAK,BERLINE DAG",,NA,NA,1," COR,UAS,MOP,OCM,RMA,TAN",0M000,NA,2,Valide, 	 ,18/06/2015,F15462/AI,NA,,RENFORT INT G ACOUSTIQUE DE TRAVERSE INF BAIE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," TAN,RMA,COR,OCM,UAS,MOP",0M000,Officielle,,,,BE,,NA," DOC 426055 SPEC LK52, B52 DG", 	 673395614R,RENFORT INT G ACST TRAVERSE INF BAIE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," MOP,TAN,UAS,OCM,COR,RMA",,PQ-,NA,-,SFK,,SC MPO PRODIVERS REZISTENT S,0F,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,,,,--G,BE,--G,BE,NA,0.283,Calculée,DX54D+Z140MBO 10µ MINI ZN/FAC,1.5,Plan et Num 3D obligatoires,Renault,Plan,--H,1,Non partagé
673505469R,INSONORISANT TABLIER,Validated,1,1,0,62,HABILLAGE INTERIEUR,X52,F10406,Fonction,ISOLATION DE TABLIER,Renault,1,Projet,X52 / DG.,,NA,NA,1,,0M000,NA,1,Valide, 	 ,23/07/2015,F10406/AA,NA,,ISOLANT 1 DE TABLIER,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," ORA,MOP",0M000,Officielle,,,,BE,,NA,, 	 673505469R,INSONORISANT TABLIER,PIE,Renault,65400,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," MOP,ORA",,R--,NA,-,5UZ,,EURO AUTO PLASTIC SYSTEMS SR,NT,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,Initialisation par PDP,,,--C,BE,--C,BE,NA,2.24,Calculée,,,Plan et Num 3D obligatoires,Renault,Plan,--C,3,
674102666R,TRAVERSE INF BAIE P-ASS,Refused,1,5,0.2,12,SOUBASSEMENT,X52,F10767,Fonction,TRAVERSE INF DE BAIE,Renault,1,Projet," TRICORPS, BERLINE ET BREAK DAG",,NA,NA,2," OCM,RMA,TAN",0M000,NA,1,Valide, 	 ,28/04/2016,F10767/AG,NA,,TRAVERSE INF DE BAIE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,,,,EXT,0M000,Officielle,BE,,NA,DOC 426085  SPEC TAN, 	 674125570R,TRAVERSE INF BAIE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,EXT,,RQ-,NA,-,SFK,,,RR,,Non,NA,NA,Industrialisation - Capacitaire et Sourcings,Nouvelle industrialisation / Intégration locale,,,,--C,BE,--C,BE,NA,1.199,Calculée,XES G10/10,0.63,Plan et Num 3D obligatoires,Renault,Plan,--D,14,
674121970R,TRAVERSE TABLIER PARTIE LAT D,Validated,1,1,0,12,SOUBASSEMENT,X52,F14370,Fonction,TRAVERSE DE TABLIER,Renault,1,Projet," BERLINE, BREAK, TRICORPS DAG",,NA,NA,12,TOA,0M000,NA,3,Valide, 	 ,10/05/2017,F14370/AJ,NA,,TRAVERSE 1 TABLIER PARTIE LAT D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,TOA,0M000,Officielle,,,,BE,,NA,DOC 426065, 	 674125001R,TRAVERSE TABLIER PARTIE LAT D,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," UAS,MOP,OCM,TOA,ORU",,RQ-,NA,-,SF0,,AUTOMOBILE DACIA S.A. ACHATS,B5,,Oui,NA,NA,Inducteurs Spécifiques,Non définie,,,,---,BE,---,BE,NA,0.773,Calculée,DX54D+Z100MBO Z100,1.6,Plan et Num 3D obligatoires,Renault,Plan,--E,1,Non partagé
674139752R,TRAVERSE TABLIER PARTIE LAT G,Refused,1,3,0.3333333333333333,12,SOUBASSEMENT,X52,F14370,Fonction,TRAVERSE DE TABLIER,Renault,1,Projet," BERLINE, BREAK, TRICORPS DAG",,NA,NA,12,TOA,0M000,NA,2,Valide, 	 ,10/05/2017,F14370/AI,NA,,TRAVERSE 1 TABLIER PARTIE LAT G,8708.29,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,TOA,0M000,Officielle,,,,BE,,NA,DOC 426065, 	 674133861R,TRAVERSE TABLIER PARTIE LAT G,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," MOP,OCM,TOA,UAS",,RQ-,NA,-,SFO,,SC MPO PRODIVERS REZISTENT S,G7,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,---,BE,---,BE,NA,0.805,Calculée,DX54D+Z100MBO,1.6,Plan et Num 3D obligatoires,Renault,Plan,--F,6,
676000010R,ELEMENT LIAISON AV DBL PIED AV D,Validated,2,2,0,12,SOUBASSEMENT,X52,F10721,Fonction,DOUBLURE DE PIED AVANT,Renault,1,Projet," TRICORPS, BERLINE&BREAK DAG",,NA,NA,17,MOP,0M000,NA,1,Valide, 	 ,26/08/2014,F10721/BE,NA,,ELEMENT LIAISON AV DOUBLURE DE PIED AV D SUR LONGERON AV D,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,DOC 426030, 	 676009247R,ELEMENT LIAISON AV DBL PIED AV D,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité"," MOP,TAN",0M000,Officielle,,,," TAN,MOP,UAS,ORU,OCM,CHN,RMA,IZH,VUC",,RQ-,NA,D,SFK,,AUTOMOBILE DACIA S.A. ACHATS,5J,,Oui,NA,NA,Prestations Véhicules et Organes,Résolution pb Qualité - Fiab / LUP QC / SdF / SGP,PUL/QX90018009S01,,,--B,BE,--B,BE,NA,0.414,Calculée,DX54D+Z140MBO Z140,1.18,Plan et Num 3D obligatoires,Renault,Plan,--K,1,Non partagé
678755497R,SUPPORT FIX POSTE CONDUITE G,Validated,2,2,0,12,SOUBASSEMENT,X79,ASS004713,Fonction,SUPPORT FX G PARTIE SUP TRAVERSE POSTE DE CONDUITE ASS,Renault,1,Projet,SUV 5 PORTES ET PICK-UP,,NA,NA,7,CHN,0M000,NA,1,Valide, 	 ,16/02/2016,ASS004713,NA,,SUPPORT FX G PARTIE SUP TRAVERSE POSTE DE CONDUITE ASS,8708.29,NA,Fournisseur,NA,NA,NA,0,0,NA,1,NA,,,CHN,0M000,Officielle,,,,BE,,NA,DOC 426075, 	 678753361R,SUPPORT G PARTIE SUP TRV POSTE CDTE ASS,PIE,Renault,0M000,KY2,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle,CHN,,---,NA,*,9S0,,,VS,,Non,NA,NA,Gestion Documentaire,Assemblé,,,,--A,BE,--A,BE,NA,0.645,Calcul automatique,,,Plan de définition obligatoire,Renault,Plan,--E,7,
678776843R,TUBE TRAVERSE POSTE CONDUITE,Refused,2,4,0.5,56,TRAVERSE POSTE DE CONDUITE,X79,F10689,Fonction,TRAVERSE DE POSTE DE CONDUITE,Renault,6,Projet,H79 PH2 PITESTI,,NA,NA,2,MOP,0M000,NA,13,Valide, 	 ,25/09/2013,F10689/AS,NA,,TUBE DE TRAVERSE POSTE DE CONDUITE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,MOP,0M000,Officielle,,,,BE,,NA,, 	 678776843R,TUBE TRAVERSE POSTE CONDUITE,PIE,Renault,0M000,,Renault, 	 ," PCE Pièce, Unité",MOP,0M000,Officielle,,,," ORU,MOP,EXT",,---,NA,D,,,,9,,Oui,NA,NA,Gestion Documentaire,Assemblé,,,,--C,BE,--C,BE,NA,5.3,Calculée,,,Plan de définition obligatoire,Renault,Plan,--C,8,
679000334R,ABSORBANT ACOUSTIQUE TABLIER,Refused,1,3,0.3333333333333333,62,HABILLAGE INTERIEUR,XHA,F10004,Fonction,ABSORBANT DE TABLIER,Renault,3,Projet,HHA INDIA,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,15/03/2016,F10004/AA,NA,,ABSORBANT TABLIER,8708.99,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 679000334R,ABSORBANT ACOUSTIQUE TABLIER,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,RS-,NA,-,,,,23,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--A,BE,--A,BE,NA,0.38,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--C,7,
679026834R,ABSORBANT ACOUSTIQUE TRAVERSE INF BAIE,Validated,2,2,0,62,HABILLAGE INTERIEUR,XHA,F16585,Fonction,ABSORBANT DE BOITE A EAU,Renault,3,Projet,HHA INDIA,,NA,NA,1,,0INDE,NA,2,Valide, 	 ,15/03/2016,F16585/AC,NA,,ABSORBANT DE TRAVERSE INF DE BAIE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 679026834R,ABSORBANT ACOUSTIQUE TRAVERSE INF BAIE,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,RS-,NA,-,,,,WX,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--B,BE,--B,BE,NA,0.1,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--C,6,
681225863R,CAPTEUR TEMPERATURE HABITACLE,Refused,1,1,1,62,HABILLAGE INTERIEUR,X52,F22306,Fonction,ENJOLIVEUR CAPTEUR CLIMATISATION,Renault,1,Projet,X52,,NA,NA,1,,0RDBA,NA,1,Valide, 	 ,19/05/2017,F22306/AA,NA,,ENJOLIVEUR CAPTEUR DE TEMPERATURE HABITACLE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,," COR,OCM,UAS,TOA,IZH,TAN,RMA,MOP",0M000,Officielle,,,,BE,,NA,, 	 681225863R,SUPPORT CAPTEUR TEMPERATURE HABITACLE,PIE,Renault,0M000,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0M000,Officielle," MOP,RMA,TAN,TOA,IZH,UAS,OCM,CHN,COR",,R--,NA,-,320,,METAPLAST SRL,8T,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Non définie,,,,--A,BE,--A,BE,NA,0.015,Pesée pièce proto,,,Plan et Num 3D obligatoires,Renault,Plan,---,2,
681630771R,SUPPORT INTERRUPTEUR PDB COTE CDC,Validated,5,5,0,51,PLANCHE DE BORD,XHA,F10643,Fonction,SUPPORT DE COMMANDE ELECTRIQUE SUR PDB,Renault,4,Projet,HHA INDIA E3,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,22/03/2016,F10643/AC,NA,,SUPPORT INTERRUPTEUR PLANCHE DE BORD COTE CONDUCTEUR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 681630771R,SUPPORT INTERRUPTEUR PDB COTE CDC,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,R--,NA,-,,,,YE,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--A,BE,--A,BE,NA,0.049,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--D,7,
682504238R,FACADE TABLEAU BORD,Validated,4,4,0,51,PLANCHE DE BORD,XHA,F10482,Fonction,PLANCHE DE BORD,Renault,6,Projet,HHA INDIA E1/E2/E3,,NA,NA,1,,0INDE,NA,2,Valide, 	 ,22/03/2016,F10482/AO,NA,,FACADE DE TABLEAU DE BORD,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 682504238R,FACADE TABLEAU BORD,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,R--,NA,-,,,,4L,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--A,BE,--A,BE,NA,0.244,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--D,7,
682602110R,FACADE COMMANDE CHAUFFAGE CA AUTO,Validated,1,1,0,51,PLANCHE DE BORD,X79,F10221,Fonction,HABILLAGE DE CDE ET DISTRIBUTION D' AIR,Renault,7,Projet,H79 PH2 INDIA TR4X4 AUTO AC OUTDOOR EDITION,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,29/02/2016,F10221/AA,NA,,FACADE DE CDE DE CHAUFFAGE ET CLIMATISATION,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 682601659R,FACADE COMMANDE CHAUFFAGE CA AUTO,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,RQ-,NA,-,YLR,,NISSAN MOTOR INDIA PRIVATE L,LW,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,--A,BE,--A,BE,NA,0.125,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--C,5,
682608045R,FACADE COMMANDE CHAUFFAGE CA MNL,Validated,2,2,0,51,PLANCHE DE BORD,X79,F10221,Fonction,HABILLAGE DE CDE ET DISTRIBUTION D' AIR,Renault,6,Projet,H79 PH2 INDIA TR4X2 MANUAL AC OUTDOOR EDITION,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,29/02/2016,F10221/AA,NA,,FACADE DE CDE DE CHAUFFAGE ET CLIMATISATION,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 682601846R,FACADE COMMANDE CHAUFFAGE CA MNL,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,RQ-,NA,-,YLR,,NISSAN MOTOR INDIA PRIVATE L,DM,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Version dérivée ou série limitée,,,,--A,BE,--A,BE,NA,0.12,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--D,6,
682706463R,FACADE AFFICHEUR RADIO,Validated,5,5,0,51,PLANCHE DE BORD,XHA,F10393,Fonction,INDICATEURS SUR PLANCHE DE BORD,Renault,9,Projet,HHA INDE E3/E4,,NA,NA,2,,0INDE,NA,1,Valide, 	 ,28/03/2019,F10393/AA,NA,,FACADE AFFICHEUR SUR PLANCHE DE BORD,,NA,Couleur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 682706616R,FACADE AFFICHEUR RADIO,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,RQ-,NA,N,,,,UE,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,---,BE,---,BE,NA,0.308,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,---,5,Non partagé
684705932R,CACHE RADIO,Validated,2,2,0,51,PLANCHE DE BORD,X79,F12427,Fonction,HABILLAGE RADIO ET COMPACT DISQUE,Renault,8,Projet,H79 PH3 INDIA,,NA,NA,1,CHN,0INDE,NA,1,Valide, 	 ,19/04/2018,F12427/AL,NA,,OBTURATEUR COMMANDE RADIO A DISTANCE,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 684702027R,CACHE RADIO,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,RQ-,NA,-,YLR,,,LY,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Montée en gamme / Nouvelle teinte,,,,---,BE,---,BE,NA,0.115,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--C,4,
684706344R,CACHE RADIO,Validated,4,4,0,51,PLANCHE DE BORD,XHA,F12427,Fonction,HABILLAGE RADIO ET COMPACT DISQUE,Renault,3,Projet,HHA PRAD01 ENPB01,,NA,NA,2,,0RDBA,NA,1,Valide, 	 ,09/10/2018,F12427/AI,NA,,CACHE RADIO,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,UAS,0RDBA,Officielle,,,,BE,,NA,, 	 684706344R,CACHE RADIO,PIE,Renault,0INDE,XCP,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,UAS,,R--,NA,-,,,FAURECIA INTERIOR SYSTEMS,PE,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--C,BE,--C,BE,NA,0.113,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--C,7,
685202083R,OBTURATEUR VIDE POCHE PASSAGER,Refused,1,4,0.25,51,PLANCHE DE BORD,XHA,F10705,Fonction,VIDE POCHES,Renault,4,Projet,HHA INDE,,NA,NA,1,,0INDE,NA,1,Valide, 	 ,22/03/2016,F10705/AZ,NA,,CACHE BOITIER VIDE POCHES,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 685202083R,OBTURATEUR VIDE POCHE PASSAGER,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,R--,NA,-,,,,7M,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--B,BE,--B,BE,NA,0.065,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--D,7,
687602561R,FACADE AERATEUR LAT,Validated,4,4,0,51,PLANCHE DE BORD,XHA,F16196,Fonction,HABILLAGE VENTILATION HABITACLE,Renault,1,Projet,HHA,,NA,NA,3,,0INDE,NA,1,Valide, 	 ,28/03/2016,F16196/AC,NA,,FACADE AERATEUR LAT G,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 687602561R,FACADE AERATEUR LAT,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,R--,NA,-,300,,,CL,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--A,BE,--A,BE,NA,0.02,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--D,7,
687747318R,CONDUIT VENTILATION LAT D,Refused,4,8,0.5,51,PLANCHE DE BORD,XHA,F17369,Fonction,VENTILATION PLANCHE DE BORD,Renault,6,Projet,HHA INDE E1/E2,,NA,NA,2,,0INDE,NA,1,Valide, 	 ,27/03/2017,F17369/AE,NA,,CONDUIT VENTILATION LAT D DE PLANCHE DE BORD,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 687747318R,CONDUIT VENTILATION LAT D,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,R--,NA,-,,,,NF,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--B,BE,--B,BE,NA,0.26,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--D,13,
687755649R,CONDUIT VENTILATION LAT G,Refused,3,8,0.375,51,PLANCHE DE BORD,XHA,F17369,Fonction,VENTILATION PLANCHE DE BORD,Renault,6,Projet,HHA INDE E1/E2,,NA,NA,2,,0INDE,NA,4,Valide, 	 ,27/03/2017,F17369/AF,NA,,CONDUIT VENTILATION LAT G DE PLANCHE DE BORD,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 687755649R,CONDUIT VENTILATION LAT G,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,R--,NA,-,,,,TE,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--B,BE,--B,BE,NA,0.26,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--E,13,
689206606R,JOUE D PLANCHE BORD,Validated,5,5,0,51,PLANCHE DE BORD,XHA,F12107,Fonction,OBTURATION DE PLANCHE DE BORD,Renault,1,Projet,HHA,,NA,NA,3,,0INDE,NA,1,Valide, 	 ,22/03/2016,F12107/AE,NA,,OBTURATEUR PIED CONDUCTEUR,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 689206606R,JOUE D PLANCHE BORD,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,R--,NA,-,,,,6K,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--B,BE,--B,BE,NA,0.407,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--E,7,
689213334R,JOUE G PLANCHE BORD,Validated,5,5,0,51,PLANCHE DE BORD,XHA,F12107,Fonction,OBTURATION DE PLANCHE DE BORD,Renault,1,Projet,HHA,,NA,NA,3,,0INDE,NA,2,Valide, 	 ,22/03/2016,F12107/AJ,NA,,OBTURATEUR PIED PASSAGER,,NA,Fournisseur,NA,NA,NA,NA,NA,NA,1,NA,,,CHN,0INDE,Officielle,,,,BE,,NA,, 	 689213334R,JOUE G PLANCHE BORD,PIE,Renault,0INDE,,Renault, 	 ," PCE Pièce, Unité",,,,EXT,0INDE,Officielle,CHN,,R--,NA,-,,,,29,,Oui,NA,NA,Design - Montée en Gamme - Teintes,Nouvelle famille véhicule (hors Standardisation),,,,--B,BE,--B,BE,NA,0.37,Pesée pièce série,,,Plan et Num 3D obligatoires,Renault,Plan,--E,7,
